#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C482
#Date Time: 2026-05-03 18:42:12.764
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Trigger 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-8.192e-05,-0.01200545383122883,-0.01214887183441089
-8.19e-05,-0.01200545383122883,-0.01214887183441089
-8.188e-05,-0.01200545383122883,-0.01113764957465486
-8.186000000000001e-05,-0.01200545383122883,-0.01214887183441043
-8.184e-05,-0.01234329589807734,-0.01214887183441089
-8.182e-05,-0.01301898003177437,-0.0114747236612399
-8.18e-05,-0.01301898003177437,-0.0118117977478254
-8.178000000000001e-05,-0.01268113796492601,-0.0118117977478254
-8.176e-05,-0.01268113796492585,-0.0114747236612399
-8.174e-05,-0.01234329589807734,-0.0118117977478254
-8.172e-05,-0.01200545383122883,-0.0111376495746544
-8.169999999999999e-05,-0.0109919276306839,-0.01080057548806922
-8.168e-05,-0.01234329589807734,-0.0114747236612399
-8.166e-05,-0.01200545383122883,-0.0111376495746544
-8.164e-05,-0.01166761176438031,-0.01214887183441089
-8.161999999999999e-05,-0.01268113796492509,-0.01248594592099562
-8.16e-05,-0.01099192763068405,-0.01080057548806967
-8.158e-05,-0.01200545383122883,-0.0111376495746544
-8.156e-05,-0.01166761176438031,-0.01080057548806891
-8.154e-05,-0.01166761176438031,-0.01080057548806906
-8.152000000000001e-05,-0.01166761176438031,-0.01113764957465425
-8.15e-05,-0.0113297696975318,-0.01046350140148341
-8.148e-05,-0.01234329589807734,-0.0111376495746544
-8.146e-05,-0.0113297696975318,-0.01080057548806891
-8.144000000000001e-05,-0.01200545383122852,-0.01113764957465425
-8.142e-05,-0.01268113796492585,-0.01046350140148341
-8.14e-05,-0.01301898003177437,-0.0118117977478254
-8.138e-05,-0.01268113796492585,-0.01080057548806891
-8.135999999999999e-05,-0.01200545383122883,-0.01147472366123944
-8.134e-05,-0.01200545383122883,-0.01046350140148341
-8.132e-05,-0.01268113796492585,-0.01080057548806891
-8.13e-05,-0.01301898003177437,-0.0111376495746544
-8.127999999999999e-05,-0.01200545383122883,-0.01248594592099593
-8.126e-05,-0.01200545383122883,-0.01147472366124036
-8.124e-05,-0.01200545383122883,-0.0114747236612399
-8.122e-05,-0.01200545383122883,-0.0118117977478254
-8.12e-05,-0.01268113796492493,-0.01181179774782509
-8.118000000000001e-05,-0.01065408556383569,-0.01113764957465471
-8.116e-05,-0.01200545383122883,-0.01248594592099639
-8.114e-05,-0.01099192763068328,-0.0114747236612399
-8.112e-05,-0.0113297696975318,-0.0111376495746544
-8.110000000000001e-05,-0.01166761176438016,-0.0111376495746544
-8.108e-05,-0.01301898003177437,-0.0118117977478254
-8.106e-05,-0.01234329589807734,-0.0118117977478254
-8.104e-05,-0.01234329589807734,-0.0114747236612399
-8.101999999999999e-05,-0.01301898003177421,-0.01181179774782494
-8.1e-05,-0.01268113796492585,-0.01080057548806891
-8.098e-05,-0.01268113796492585,-0.0111376495746544
-8.096e-05,-0.01268113796492585,-0.01080057548806891
-8.093999999999999e-05,-0.01301898003177375,-0.0118117977478254
-8.092e-05,-0.01166761176438031,-0.0118117977478254
-8.09e-05,-0.01234329589807734,-0.0111376495746544
-8.088e-05,-0.01335682209862288,-0.01080057548806891
-8.085999999999999e-05,-0.01234329589807719,-0.01046350140148402
-8.084000000000001e-05,-0.01200545383122898,-0.01181179774782478
-8.082e-05,-0.01166761176438031,-0.01080057548806891
-8.08e-05,-0.0113297696975318,-0.0114747236612399
-8.078e-05,-0.0113297696975318,-0.0118117977478254
-8.076000000000001e-05,-0.01234329589807688,-0.01113764957465471
-8.074e-05,-0.01099192763068328,-0.0118117977478254
-8.072e-05,-0.01200545383122883,-0.01214887183441089
-8.07e-05,-0.01166761176438031,-0.01214887183441089
-8.067999999999999e-05,-0.01200545383122836,-0.01214887183441105
-8.066e-05,-0.01099192763068328,-0.01248594592099639
-8.064e-05,-0.01200545383122883,-0.01282302000758188
-8.062e-05,-0.01200545383122883,-0.01349716818075288
-8.059999999999999e-05,-0.01234329589807765,-0.0128230200075825
-8.058e-05,-0.01301898003177437,-0.01417131635392387
-8.056e-05,-0.01200545383122883,-0.01316009409416738
-8.054e-05,-0.01234329589807734,-0.01417131635392387
-8.051999999999999e-05,-0.01132976969753241,-0.01282302000758204
-8.050000000000001e-05,-0.01268113796492524,-0.01316009409416723
-8.048e-05,-0.01268113796492585,-0.01248594592099639
-8.046e-05,-0.01301898003177437,-0.01450839044050936
-8.044e-05,-0.01268113796492585,-0.01349716818075288
-8.042000000000001e-05,-0.01166761176438077,-0.01316009409416754
-8.04e-05,-0.01166761176438031,-0.01282302000758188
-8.038e-05,-0.01200545383122883,-0.01248594592099639
-8.036e-05,-0.01200545383122883,-0.01214887183441089
-8.034000000000001e-05,-0.01200545383122883,-0.01214887183441089
-8.032e-05,-0.01234329589807734,-0.01282302000758188
-8.03e-05,-0.01200545383122883,-0.01214887183441089
-8.028e-05,-0.01268113796492585,-0.01282302000758188
-8.025999999999999e-05,-0.01335682209862288,-0.01113764957465502
-8.024e-05,-0.01335682209862288,-0.01248594592099639
-8.022e-05,-0.01335682209862288,-0.01214887183441089
-8.02e-05,-0.01301898003177437,-0.01248594592099639
-8.017999999999999e-05,-0.01234329589807749,-0.01181179774782555
-8.016000000000001e-05,-0.0126811379649257,-0.01214887183441074
-8.014e-05,-0.01301898003177437,-0.0118117977478254
-8.012e-05,-0.0136946641654714,-0.0118117977478254
-8.01e-05,-0.01335682209862288,-0.01248594592099593
-8.008000000000001e-05,-0.01335682209862288,-0.01147472366124036
-8.006e-05,-0.01335682209862288,-0.01214887183441089
-8.004e-05,-0.01301898003177437,-0.0114747236612399
-8.002e-05,-0.01268113796492585,-0.01214887183441089
-8.000000000000001e-05,-0.01335682209862258,-0.01046350140148418
-7.998e-05,-0.01301898003177437,-0.0118117977478254
-7.996e-05,-0.01268113796492585,-0.01248594592099639
-7.994e-05,-0.01268113796492585,-0.0114747236612399
-7.991999999999999e-05,-0.0126811379649257,-0.01248594592099608
-7.99e-05,-0.01234329589807734,-0.0118117977478254
-7.988e-05,-0.01268113796492585,-0.01282302000758188
-7.986e-05,-0.01200545383122883,-0.0111376495746544
-7.983999999999999e-05,-0.01301898003177406,-0.01214887183441043
-7.982e-05,-0.01234329589807765,-0.01113764957465486
-7.98e-05,-0.01301898003177437,-0.0118117977478254
-7.978e-05,-0.01268113796492585,-0.01214887183441089
-7.976e-05,-0.01301898003177406,-0.01147472366124005
-7.974000000000001e-05,-0.01234329589807765,-0.01181179774782525
-7.972e-05,-0.01200545383122883,-0.0118117977478254
-7.97e-05,-0.01166761176438031,-0.01316009409416738
-7.968e-05,-0.01166761176438031,-0.01248594592099639
-7.966000000000001e-05,-0.01234329589807703,-0.0118117977478257
-7.964e-05,-0.01234329589807734,-0.01214887183441089
-7.962e-05,-0.01234329589807734,-0.01248594592099639
-7.96e-05,-0.01200545383122883,-0.01316009409416738
-7.957999999999999e-05,-0.01234329589807749,-0.01248594592099654
-7.956e-05,-0.01268113796492585,-0.01282302000758188
-7.954e-05,-0.01200545383122883,-0.01383424226733837
-7.952e-05,-0.01166761176438031,-0.01349716818075288
-7.949999999999999e-05,-0.01200545383122898,-0.01383424226733837
-7.948e-05,-0.01234329589807719,-0.01383424226733837
-7.946e-05,-0.01166761176438031,-0.01349716818075288
-7.944e-05,-0.01234329589807734,-0.01450839044050936
-7.942e-05,-0.01234329589807749,-0.01349716818075303
-7.940000000000001e-05,-0.0126811379649257,-0.01383424226733822
-7.938e-05,-0.01099192763068328,-0.01316009409416738
-7.936e-05,-0.0113297696975318,-0.01214887183441089
-7.934e-05,-0.01166761176438031,-0.01282302000758188
-7.932000000000001e-05,-0.01234329589807703,-0.01248594592099654
-7.93e-05,-0.01166761176438031,-0.01316009409416738
-7.928e-05,-0.01200545383122883,-0.01248594592099639
-7.926e-05,-0.01268113796492585,-0.01214887183441089
-7.923999999999999e-05,-0.01166761176438016,-0.01248594592099578
-7.922e-05,-0.0113297696975318,-0.0111376495746544
-7.92e-05,-0.01200545383122883,-0.01248594592099639
-7.918e-05,-0.01301898003177437,-0.01248594592099639
-7.915999999999999e-05,-0.01234329589807749,-0.01282302000758204
