2208058, -1002766
2175767, 549748
844506, 219949
1725114, -857984
2583856, 464050
903498, 596058
2051820, -2278531
7476837, -608929
7413702, 7413753
-1084690, 10432186
-6240994, 4045648
-2624313, -768302
304037, 1499174
-2094024, 2931881
-3047980, 277260
-720756, -429558
-599978, 1457494
-2382630, 1002571
-1747652, -722779
-383504, -55143
-1277197, 855622
-1976243, -295484
-845412, -906936
-486278, 17888
-1298173, 19879
-1084204, -749366
-488512, -438317
-970915, -100371
-1180869, -783514
-486524, -975761
-414690, -456832
-785823, -626658
-448934, -932582
-272994, -570629
-628010, -632665
-319196, -965044
-104409, -396997
-986323, -342932
-852225, -1425747
251605, -698832
-1810824, 881749
-5245843, -2555420
-2006135, -8960010
6561777, -8206024
9094354, -84480
3618213, 4118356
160938, 1247148
2048950, -471872
2717210, 1587616
625253, 2051566
358309, 415167
1616575, 650694
1017854, 1866471
-108522, 1281122
427176, 527843
820861, 1232617
-31368, 1552455
-382022, 847996
1163, 628751
-20616, 753889
58798, 540511
457114, 847871
19496, 1485962
-742282, 1126083
-496615, 530751
-217986, 854564
-738115, 926137
-713118, 331512
-202198, 523857
-660936, 924793
-941606, 202143
39308, 112193
-90624, 1341154
-1394977, 882724
-81916, -415252
1908104, 2421165
-2132828, 6558509
-9202073, 3202021
-8676677, -5501388
-1063375, -8082872
2656862, -3341584
255969, -710492
-750337, -2461539
1210151, -2740488
1459376, -923978
199350, -879778
639011, -1817215
1595711, -1150778
1082662, -309355
646850, -726653
1229494, -861376
1419186, -184015
1005718, 161661
709829, 216991
246353, 144951
61000, -624487
1037793, -1103837
1802127, -144400
1092732, 662384
597993, 159297
1161490, 84011
1001688, 820893
261277, 564956
696723, 6367
1054199, 736974
34838, 914983
73002, -341583
1476366, -31302
666609, 1336203
-748001, -580327
2779513, -2963601
7556882, 1481907
4289804, 9038167
-4324928, 8834675
-6940117, 1862655
-2920859, -1368086
-1026236, 645742
-2693182, 1100040
-2729047, -766408
-1179652, -890920
-1299070, 44840
-2001279, -536019
-1334145, -1321223
-700709, -928293
-987392, -728937
-967010, -1206276
-445109, -1396784
29654, -1277807
546775, -808878
345304, 248452
-1060145, 409589
-1615136, -1121948
-269036, -1970828
520916, -1024781
-159514, -678844
-17105, -1418685
872856, -1045279
422880, -229681
-109777, -867401
854018, -1122741
900805, 144027
-548707, -33478
-27263, -1504895
1327081, -284587
-1222062, 1238676
-4014680, -2908244
677728, -8265255
8547455, -5221213
8681201, 3105668
2447672, 5682750
-255564, 2353400
1444720, 1126693
1477588, 2732159
-264941, 2629268
-313883, 1364033
331054, 1614078
-337316, 2140945
-999749, 1536390
-764718, 1074787
-750515, 1229872
-1135690, 1142236
-1439819, 780400
-1649745, 74771
-951482, -947350
710297, -611229
861102, 1379766
-1124000, 2000059
-2006979, 375932
-904548, -329321
-755755, 478856
-1631549, 106378
-1058955, -885733
-231237, -264844
-1051845, 181385
-1164507, -995678
308496, -894985
-23477, 673118
-1479457, -103312
211864, -1403579
1862211, 1790515
-2815246, 5006933
-8672915, 217589
-5948454, -7785552
1914779, -8231695
4366512, -2797298
1672656, -650148
1035216, -2105061
2581795, -1838323
2420256, -260175
1452544, -259132
1807519, -651186
2211516, 50354
1727314, 621692
1415026, 567868
1450504, 688874
1386654, 994009
1203720, 1518295
186789, 2104802
-1383269, 1148606
-925242, -1115257
1587260, -1271189
2253717, 1065573
447141, 1924618
-107987, 726773
793914, 813655
189255, 1791337
-855005, 1037344
-80431, 257459
229096, 1249450
-1142455, 1193323
-884979, -440250
727449, 66037
-353604, 1438719
-1583074, -774980
2242604, -2582489
5884555, 2516298
1140557, 8773287
-6813240, 6432857
-7518800, -817534
-2907399, -3057181
-1323164, -927008
-2591671, -784856
-2139492, -2260509
-766866, -2099507
-799160, -1430240
-985198, -1863302
-307359, -2192471
193865, -1877630
327678, -1695156
525700, -1633825
759237, -1692158
1604077, -1718861
2620518, -331566
1401638, 1819815
-1442186, 1265144
-1615384, -1689400
969814, -2372371
1742711, -467220
495736, -120541
842244, -1090187
1887705, -262606
972700, 781370
296956, -133396
1450933, -267252
1211692, 1275009
-528428, 855285
176874, -728274
1414016, 707916
-1357381, 1869247
-3354969, -2546587
2038926, -6596968
8572597, -2028924
6650942, 5695862
130323, 6590703
-1821417, 2790616
-172214, 1750273
-418923, 2879385
-1799627, 2344016
-1679163, 1212381
-1292974, 1270709
-1772921, 1306078
-2069179, 709237
-1960132, 264921
-1884400, -45091
-1756851, -250042
-2042195, -413802
-2320130, -1669722
-525600, -3168842
2224214, -1702915
1604465, 1676549
-1698221, 1871459
-2358323, -860344
-425672, -1484301
-334082, -222386
-1348996, -836751
-318557, -1912567
671270, -858784
-372417, -336909
-303972, -1642037
1376758, -1215080
789879, 570374
-695547, -363593
1142427, -1429459
2252929, 1914011
-2684335, 4130290
-7103247, -1421122
-2825183, -8092352
4503133, -6595665
5506276, -885862
2475132, 720118
1933677, -535609
2956005, -13128
2425005, 1241209
1558255, 1183856
1638337, 1048328
1582381, 1538174
1121492, 1835596
725853, 1952940
267856, 1952703
139719, 1792818
53989, 2413157
-1688664, 2991890
-3717494, 777243
-2036846, -2567800
1810979, -1915541
2022591, 1631080
-759582, 2220756
-1175827, 318417
76382, 514042
-798540, 1552037
-1863144, 346355
-692204, -535619
-365556, 626821
-1805946, 342046
-1194091, -1435861
570304, -674696
-624708, 650979
-1500787, -1626608
2404506, -2713940
4858548, 2650264
-709540, 7375818
-7368406, 3479756
-6277513, -3304163
-1422369, -4331925
-197164, -2001927
-1144151, -1891136
-459911, -2824491
634095, -2366681
647991, -1773956
715668, -1870461
1172865, -1783073
1496048, -1506420
1841534, -1153100
1874076, -590007
1714295, -634903
2775057, -646847
3709892, 1638154
1086171, 4232217
-2827888, 2382132
-2172018, -1847420
1508995, -2058948
1976284, 686834
147978, 844655
646748, -379760
1683289, 734507
334296, 1742558
-388932, 474090
882415, 373382
378290, 1926361
-1445642, 1136789
-500924, -538525
614939, 950300
-2126121, 1634333
-3223263, -2796510
2453108, -5492373
7401965, -45753
3954590, 6448726
-2162748, 5722580
-3136324, 1729243
-1421498, 894412
-1654689, 1610041
-2502834, 871825
-2167536, -30600
-1839957, -112849
-1943436, -323475
-1880733, -701841
-1825302, -1066109
-1505919, -1621205
-891585, -1629937
-1215881, -1496042
-1358168, -3094566
1501418, -4442012
4679790, -1443107
2712953, 2989246
-1794948, 2351442
-1979562, -1355438
656371, -1646619
516779, 76316
-665658, -724133
655928, -1731266
1559663, -272777
210839, 246951
354348, -1121341
1989369, -405244
1030850, 1406564
-489741, 265139
1322269, -604978
1827405, 2606250
-3066949, 3746117
-5991654, -2113446
-793264, -7184426
5389769, -4225869
4971418, 1133954
1812810, 1986033
1352140, 788989
1901868, 1266716
1205422, 2022700
518451, 1838652
377792, 1749588
92257, 1844635
-160305, 1854590
-572326, 2042393
-1299082, 1742916
-1211573, 1137130
-1119155, 1853233
-3337891, 2170221
-5150892, -1269682
-1829998, -5030537
3045914, -3002117
2437180, 1669572
-1192686, 1790968
-1257875, -676210
339834, -215229
-744995, 912322
-1690444, -575839
-155233, -1328060
125110, 85535
-1324491, -307564
-412022, -1985631
1325035, -866213
-28570, 441259
-632983, -1716759
3033850, -2067637
4244648, 3204503
-1661196, 6326045
-6740901, 1485803
-4284767, -4251798
261137, -4074658
940624, -1694161
159668, -1567682
777450, -2002539
1426286, -1426910
1403934, -967723
1509699, -781381
1574278, -492047
1694026, -408803
2128399, 51228
1825076, 892939
1288762, 622465
2508902, 572975
3054751, 3473851
-943348, 5796252
-5261842, 2222893
-3223692, -3001052
1492252, -2420195
1508235, 1040915
-747291, 837335
42644, -623664
1100920, 713903
-509234, 1561808
-1065343, -19865
399092, -36267
-236750, 1473905
-1910980, 385175
-636965, -1213087
409620, 368697
-2106117, 704092
-2335809, -3381776
3208503, -4682229
6476642, 1133152
2082713, 6102105
-3095421, 4137761
-3089782, 426820
-1407250, -48833
-1554548, 414775
-1910445, -239922
-1514555, -763683
-1280935, -897404
-1060688, -1139988
-836268, -1146141
-957995, -1400078
-453172, -2063243
432702, -1720258
-120128, -1308586
-142212, -3138802
3476934, -3974144
6338459, 533225
