2282088, 766399
-1847200, 1193678
-1453974, -3776255
4183153, -2454426
1186930, 3734620
-6589355, -1994238
1564958, -13715570
18978165, -6014317
15768409, 15768409
-6014321, 18978161
-13715573, 1564953
-1994241, -6589359
3734617, 1186926
-2454429, 4183150
-3776258, -1453977
1193677, -1847204
766397, 2282084
-2666591, 1099991
-1007155, -1756052
1207683, 149471
-881432, 1691746
-1857115, -510137
292367, -1017609
350264, 938591
-1350650, 578237
-643487, -812327
388872, 197525
-880283, 904916
-1330813, -487877
9677, -664946
-148531, 544847
-1220259, 84380
-559211, -776422
-13189, 52235
-993680, 290328
-964047, -685692
-177674, -267838
-1114146, 362851
-1638794, -885256
-381088, -823497
-1886302, 909458
-5520837, -2074101
-2668513, -8660330
5971663, -8137515
8445146, 12785
2822010, 3901983
-251208, 745214
1910392, -610344
2157230, 1613231
-51933, 1544265
231978, -217552
1539000, 494386
485758, 1589706
-407188, 489927
644335, -23990
769219, 1075921
-361282, 995227
-192363, 26160
449719, 320232
-33528, 587767
64019, -116804
1016715, 278039
483124, 1431156
-670450, 890103
-83677, -34674
544566, 719568
-383270, 1106817
-530277, 109193
470459, 259143
30009, 1218978
-760004, 502701
324224, -11344
622342, 1460959
-961952, 1482910
-104042, -43572
2085860, 2438889
-1680492, 6769245
-8863444, 3617412
-8368454, -5072252
-792918, -7416193
2502883, -2595953
-73481, -403793
-674261, -2283583
1313775, -2105551
1031526, -286763
-235509, -747832
622591, -1604332
1348423, -534816
387009, 3313
240210, -831014
1108584, -643180
853197, 223545
248006, 40715
444566, -83592
43600, 281289
-605022, -559363
483078, -1537158
1675519, -459480
752486, 651583
-3621, -211712
977027, -572058
1054016, 543054
-66595, 380647
379930, -644026
1250097, 101149
201940, 724454
-128060, -673723
1537207, -751958
1167984, 885157
-450499, -625159
2768665, -3178898
7695238, 1028385
4591200, 8638829
-3957993, 8412656
-6295177, 1504202
-2213479, -1300428
-729709, 852820
-2470699, 929551
-2069982, -917113
-548355, -541765
-1122910, 371906
-1707363, -576936
-674810, -1103207
-349911, -299701
-1001583, -384305
-655743, -1092535
18914, -832670
-24216, -541037
330402, -537751
538436, 473056
-938438, 1071416
-1952271, -554507
-503529, -1775368
537728, -620561
-493867, -48448
-608347, -1177818
623240, -1005442
230683, 162077
-745107, -505642
236542, -1240093
684823, 59952
-916095, 215012
-764529, -1518018
838460, -725362
-1322465, 968045
-4248638, -2890237
222889, -8355211
8102518, -5452929
8187098, 2775705
2028285, 5060368
-263961, 1672095
1557760, 819464
1248009, 2466338
-447266, 1952660
-26747, 728566
584994, 1391456
-409672, 1783360
-800821, 843550
-182415, 686805
-441103, 1170720
-1019381, 760818
-870931, 268543
-912942, 73180
-659335, -786202
954992, -835695
1520093, 1216455
-538068, 2264331
-1751067, 557206
